date,amount,merchant,category,notes
2025-01-21,89.99,ADOBE SYSTEMS,Software,Recurring monthly Creative Cloud subscription
2025-01-21,19.95,SKILLSHARE INC,Education,Monthly subscription
2025-01-21,47.82,DOORDASH*THAI PEACOCK,Food & Drink,Tuesday dinner delivery
2025-01-22,5.75,STUMPTOWN COFFEE,Food & Drink,Morning coffee
2025-01-22,16.43,SWEETGREEN,Food & Drink,Lunch salad
2025-01-22,8.99,SPOTIFY USA,Entertainment,Monthly music subscription
2025-01-23,52.30,DOORDASH*SALT AND STRAW,Food & Drink,Wednesday dinner + dessert
2025-01-23,12.00,POWELL'S BOOKS,Shopping,Art technique book (unopened)
2025-01-24,6.25,STUMPTOWN COFFEE ROAST,Food & Drink,Morning latte
2025-01-24,180.00,MASTERCLASS ANNUAL,Education,Yearly subscription renewal
2025-01-24,38.91,DOORDASH*SCREEN DOOR,Food & Drink,Thursday comfort food
2025-01-25,15.00,Patreon* Sarah Andersen,Entertainment,Supporting webcomic artist
2025-01-25,14.73,NEW SEASONS MARKET,Groceries,Aspirational vegetables
2025-01-25,68.50,SALT & STRAW,Food & Drink,Friday team happy hour drinks
2025-01-26,42.00,BRUNCH BOX,Food & Drink,Saturday brunch with friends
2025-01-26,35.00,DICKBLICK ART MATERIALS,Shopping,New sketch pads (still in bag)
2025-01-26,89.43,TARGET,Shopping,Misc household items
2025-01-27,14.99,NETFLIX,Entertainment,Monthly streaming subscription
2025-01-27,45.60,DOORDASH*PODNAH'S PIT,Food & Drink,Sunday night BBQ delivery
2025-01-27,25.00,DOMESTIKA,Education,Online ceramics course (never started)
