date,amount,merchant,category,notes
2025-01-21,189.00,EQUINOX,Health & Fitness,Monthly gym membership (went twice)
2025-01-21,89.00,CLASSPASS,Health & Fitness,Monthly credits (unused this month)
2025-01-21,75.00,BROOKLYN BOULDERS,Health & Fitness,Climbing gym monthly
2025-01-21,32.45,UBER,Transportation,From Williamsburg to Chelsea
2025-01-22,185.00,NORDSTROM,Shopping,Professional designer outfit
2025-01-22,15.50,DIMES,Food & Drink,Lunch in creative district
2025-01-22,28.30,LYFT,Transportation,Between identity contexts
2025-01-23,125.00,SOHO HOUSE,Entertainment,Monthly membership dues
2025-01-23,42.00,LUCIEN,Food & Drink,Dinner with design crowd
2025-01-23,9.99,APPLE MUSIC,Entertainment,Subscription (has Spotify too)
2025-01-24,89.00,REFORMATION,Shopping,Outfit for gallery opening
2025-01-24,18.75,LA COLOMBE,Food & Drink,Coffee meeting in Tribeca
2025-01-24,35.60,UBER,Transportation,To climbing then to work event
2025-01-25,14.99,SPOTIFY PREMIUM,Entertainment,Duplicate music service
2025-01-25,65.00,PATAGONIA,Shopping,Climbing gear for authentic self
2025-01-25,38.00,ROBERTA'S,Food & Drink,Pizza with Brooklyn friends
2025-01-26,22.50,BROOKLYN BOULDERS,Health & Fitness,Day pass for friend
2025-01-26,145.00,COS,Shopping,Minimalist designer pieces
2025-01-26,52.00,SUNDAY IN BROOKLYN,Food & Drink,Brunch with different friend group
2025-01-27,31.20,UBER,Transportation,Between Brooklyn scenes
2025-01-27,78.00,EVERLANE,Shopping,Basics for third wardrobe
2025-01-27,19.99,HEADSPACE,Health & Fitness,Another meditation app
2025-01-27,44.50,FIVE LEAVES,Food & Drink,Sunday dinner compromise location
