date,amount,merchant,category,notes
2025-01-21,99.00,WHOOP MEMBERSHIP,Health & Fitness,Monthly performance tracking
2025-01-21,69.95,AG1 ATHLETIC GREENS,Health & Fitness,Monthly supplement subscription
2025-01-21,14.99,NOTION LABS INC,Software,Premium productivity workspace
2025-01-21,24.50,SWEETGREEN,Food & Drink,Optimized lunch bowl
2025-01-22,299.00,EIGHT SLEEP,Shopping,Monthly mattress subscription
2025-01-22,45.00,THORNE RESEARCH,Health & Fitness,NAD+ supplement reorder
2025-01-22,19.99,HEADSPACE INC,Health & Fitness,Meditation app premium
2025-01-22,17.25,WHOLE FOODS,Groceries,Organic meal prep ingredients
2025-01-23,12.99,AUDIBLE,Entertainment,Productivity audiobook
2025-01-23,89.00,LEVELS HEALTH,Health & Fitness,Continuous glucose monitor
2025-01-23,35.40,DOORDASH*CAVA,Food & Drink,Dinner after 2hr meal planning session
2025-01-24,199.00,HUBERMAN LAB PREMIUM,Education,Neuroscience optimization content
2025-01-24,6.50,BULLETPROOF COFFEE,Food & Drink,Morning MCT coffee
2025-01-24,156.00,MOMENTOUS SUPPLEMENTS,Health & Fitness,Monthly stack of 8 supplements
2025-01-24,29.95,CRONOMETER GOLD,Health & Fitness,Nutrition tracking premium
2025-01-25,19.99,STRAVA SUMMIT,Health & Fitness,Premium training analytics
2025-01-25,250.00,FUTURE FIT,Health & Fitness,Personal training app monthly
2025-01-25,42.30,SWEETGREEN,Food & Drink,Friday optimized dinner
2025-01-26,34.99,Amazon Kindle,Shopping,The 4-Hour Body (3rd copy)
2025-01-26,78.00,ONNIT,Health & Fitness,Nootropics monthly supply
2025-01-26,125.00,OURA RING,Health & Fitness,Annual membership renewal
2025-01-27,39.99,APOLLO NEURO,Health & Fitness,Stress wearable subscription
2025-01-27,28.75,DOORDASH*CHIPOTLE,Food & Drink,Sunday standardized meal
2025-01-27,59.99,SUPERHUMAN EMAIL,Software,Email optimization tool
